WINE,CHIPS,BREAD,BUTTER,,
,CHIPS,,BUTTER,MILK,APPLE
WINE,,,BUTTER,MILK,
WINE,,,BUTTER,MILK,APPLE
,,,,,APPLE
WINE,CHIPS,BREAD,,MILK,APPLE
WINE,CHIPS,BREAD,,MILK,
,CHIPS,BREAD,BUTTER,MILK,APPLE
,CHIPS,,,,APPLE
WINE,CHIPS,BREAD,,MILK,
,,BREAD,BUTTER,,APPLE
WINE,CHIPS,,,MILK,
WINE,CHIPS,BREAD,,,
WINE,,BREAD,,MILK,APPLE
,,,,MILK,
,,BREAD,,MILK,
WINE,,,BUTTER,,
WINE,CHIPS,BREAD,,MILK,
WINE,CHIPS,BREAD,,,
,,BREAD,BUTTER,MILK,
,CHIPS,,,,
WINE,,BREAD,BUTTER,,
,CHIPS,BREAD,,,APPLE
WINE,CHIPS,BREAD,BUTTER,,
WINE,CHIPS,,BUTTER,,
WINE,,,BUTTER,MILK,APPLE
WINE,,BREAD,BUTTER,MILK,APPLE
,CHIPS,,,,APPLE
WINE,CHIPS,,,,
,,BREAD,,,APPLE
WINE,CHIPS,,BUTTER,,APPLE
WINE,,BREAD,BUTTER,MILK,APPLE
WINE,,,,,APPLE
,,,,,APPLE
WINE,CHIPS,,,,
WINE,CHIPS,BREAD,BUTTER,,APPLE
WINE,CHIPS,BREAD,BUTTER,MILK,
WINE,CHIPS,,,MILK,
,CHIPS,BREAD,,,APPLE
,,BREAD,BUTTER,,
WINE,,BREAD,BUTTER,MILK,
,CHIPS,,,,APPLE
,,BREAD,BUTTER,MILK,
,CHIPS,BREAD,BUTTER,,APPLE
WINE,CHIPS,,BUTTER,,APPLE
WINE,,,BUTTER,MILK,
WINE,CHIPS,BREAD,BUTTER,MILK,APPLE
,,BREAD,,,APPLE
,,,BUTTER,MILK,
,,BREAD,BUTTER,,
